Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,1701.099976,1724.900024,1694.000000,1711.650024,1675.403076,4202122
2021-12-08,1733.000000,1759.800049,1732.599976,1753.349976,1716.219971,3029169
2021-12-09,1759.000000,1769.400024,1742.000000,1763.449951,1726.106079,2082171
2021-12-10,1760.000000,1763.750000,1746.000000,1759.250000,1721.995117,1823469
2021-12-13,1767.050049,1771.349976,1738.800049,1744.650024,1707.704346,4040584
2021-12-14,1730.900024,1763.000000,1710.349976,1752.150024,1715.045410,4768144
2021-12-15,1745.000000,1747.949951,1721.199951,1734.199951,1697.475464,3053149
2021-12-16,1762.650024,1777.599976,1758.000000,1771.599976,1734.083496,4481031
2021-12-17,1820.000000,1842.000000,1806.750000,1820.849976,1782.290527,18887243
2021-12-20,1801.699951,1829.650024,1787.300049,1798.900024,1760.805542,5773891
2021-12-21,1801.000000,1838.000000,1801.000000,1811.599976,1773.236450,5353584
2021-12-22,1825.000000,1829.150024,1812.349976,1824.699951,1786.059082,4156428
2021-12-23,1831.250000,1861.599976,1827.000000,1857.599976,1818.262329,4112933
2021-12-24,1872.949951,1875.750000,1854.000000,1863.500000,1824.037476,3780347
2021-12-27,1860.000000,1874.500000,1845.050049,1866.150024,1826.631226,2647733
2021-12-28,1880.699951,1895.900024,1878.400024,1888.000000,1848.018677,3340933
2021-12-29,1883.500000,1893.800049,1876.400024,1885.550049,1845.620483,3236635
2021-12-30,1884.500000,1909.800049,1874.349976,1892.849976,1852.765869,4584738
2021-12-31,1890.000000,1898.349976,1871.650024,1887.750000,1847.773926,4619420
2022-01-03,1887.750000,1914.050049,1887.750000,1898.449951,1858.247314,3329616
2022-01-04,1898.449951,1906.650024,1878.000000,1899.150024,1858.932495,3921999
2022-01-05,1900.000000,1902.900024,1840.000000,1844.650024,1805.586548,6995719
2022-01-06,1828.000000,1828.000000,1800.000000,1817.800049,1779.305176,6449205
2022-01-07,1815.449951,1836.000000,1806.800049,1814.300049,1775.879395,4834389
2022-01-10,1815.000000,1869.900024,1813.000000,1850.750000,1811.557373,7857560
2022-01-11,1855.000000,1870.000000,1850.150024,1855.599976,1816.304688,5142287
2022-01-12,1868.900024,1889.000000,1860.000000,1877.449951,1837.691895,5362535
2022-01-13,1905.000000,1912.500000,1866.349976,1896.800049,1856.632202,14277630
2022-01-14,1882.000000,1933.000000,1881.000000,1929.349976,1888.492920,7688506
2022-01-17,1938.550049,1953.900024,1930.500000,1939.500000,1898.427979,5262464
2022-01-18,1922.099976,1945.000000,1911.449951,1920.750000,1880.075073,3690315
2022-01-19,1916.000000,1916.000000,1862.849976,1867.050049,1827.512207,5747770
2022-01-20,1844.000000,1848.000000,1815.500000,1823.699951,1785.080200,5533463
2022-01-21,1795.000000,1808.000000,1776.000000,1785.699951,1747.884888,8252758
2022-01-24,1765.000000,1768.650024,1728.000000,1736.800049,1700.020508,7116712
2022-01-25,1726.599976,1740.000000,1700.500000,1722.150024,1685.680664,9137653
2022-01-27,1702.000000,1709.699951,1665.000000,1678.599976,1643.052979,11231734
2022-01-28,1681.000000,1727.550049,1679.500000,1686.199951,1650.492065,10998502
2022-01-31,1718.000000,1749.500000,1715.349976,1736.199951,1699.433105,8788872
2022-02-01,1766.099976,1780.000000,1734.699951,1772.050049,1734.524048,5119935
2022-02-02,1789.000000,1792.800049,1772.000000,1787.099976,1749.255371,4253717
2022-02-03,1779.000000,1779.000000,1734.000000,1738.550049,1701.733521,3832922
2022-02-04,1732.000000,1753.949951,1710.150024,1741.099976,1704.229492,4700077
2022-02-07,1722.199951,1732.000000,1695.400024,1715.000000,1678.682129,4310209
2022-02-08,1710.000000,1725.000000,1696.000000,1717.300049,1680.933472,6053401
2022-02-09,1735.000000,1743.000000,1725.000000,1737.300049,1700.510010,3867244
2022-02-10,1755.650024,1773.900024,1748.750000,1769.599976,1732.125854,4334630
2022-02-11,1740.000000,1745.949951,1713.000000,1721.349976,1684.897583,7551371
2022-02-14,1690.000000,1718.550049,1678.250000,1682.199951,1646.576660,7459637
2022-02-15,1699.000000,1746.750000,1690.449951,1738.250000,1701.439697,4669915
2022-02-16,1738.250000,1755.449951,1726.849976,1733.300049,1696.594604,5350642
2022-02-17,1744.000000,1749.000000,1720.300049,1724.800049,1688.274658,3937950
2022-02-18,1710.000000,1722.500000,1703.500000,1706.949951,1670.802490,5602215
2022-02-21,1701.000000,1737.300049,1691.500000,1730.699951,1694.049561,5120890
2022-02-22,1699.900024,1751.000000,1691.050049,1734.349976,1697.622314,8878515
2022-02-23,1750.000000,1758.250000,1733.400024,1742.849976,1705.942261,5478811
2022-02-24,1690.099976,1714.949951,1670.500000,1678.150024,1642.612549,13592379
2022-02-25,1715.000000,1728.150024,1677.000000,1694.599976,1658.714111,9737281
2022-02-28,1682.199951,1728.050049,1665.000000,1715.599976,1679.269409,15076542
2022-03-02,1710.000000,1714.400024,1691.000000,1702.800049,1666.740601,6771489
2022-03-03,1720.199951,1733.900024,1705.550049,1720.849976,1684.408203,7344147
2022-03-04,1695.250000,1736.000000,1681.000000,1723.300049,1686.806396,9074499
2022-03-07,1697.000000,1751.000000,1696.000000,1739.849976,1703.005859,9742588
